meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1142,7775,14,290,320,327,2023-03-18T17:16:34.581000+00:00,89.298,FALSE,32.48,28.185,28.633,,,,6
1142,7775,55,290,325,329,2023-03-18T17:50:09.089000+00:00,89.322,FALSE,32.625,28.276,28.421,,,,19
1142,7775,18,292,319,321,2023-03-18T17:17:05.659000+00:00,89.335,FALSE,32.276,28.39,28.669,,,,6
1142,7775,10,289,320,325,2023-03-18T17:59:04.036000+00:00,89.357,FALSE,32.403,28.357,28.597,,,,22
1142,7775,44,288,325,328,2023-03-18T17:35:03.959000+00:00,89.374,FALSE,32.581,28.304,28.489,,,,12
1142,7775,16,289,327,331,2023-03-18T17:08:13.743000+00:00,89.376,FALSE,32.544,28.337,28.495,,,,4
1142,7775,81,287,317,319,2023-03-18T17:38:28.535000+00:00,89.378,FALSE,32.493,28.307,28.578,,,,17
1142,7775,14,290,321,327,2023-03-18T17:11:11.882000+00:00,89.404,FALSE,32.509,28.231,28.664,,,,3
1142,7775,55,290,327,332,2023-03-18T17:16:40.738000+00:00,89.411,FALSE,32.645,28.294,28.472,,,,8
1142,7775,10,289,317,328,2023-03-18T17:39:38.237000+00:00,89.411,FALSE,32.392,28.446,28.573,,,,15
1142,7775,44,289,324,329,2023-03-18T17:38:40.707000+00:00,89.448,FALSE,32.667,28.274,28.507,,,,14
1142,7775,27,291,330,334,2023-03-18T17:38:56.456000+00:00,89.451,FALSE,32.657,28.239,28.555,,,,17
1142,7775,24,289,321,330,2023-03-18T17:38:31.754000+00:00,89.461,FALSE,32.628,28.302,28.531,,,,17
1142,7775,27,291,330,334,2023-03-18T17:28:48.995000+00:00,89.468,FALSE,32.635,28.337,28.496,,,,13
1142,7775,31,290,318,327,2023-03-18T17:27:22.371000+00:00,89.487,FALSE,32.465,28.442,28.58,,,,10
1142,7775,31,289,317,323,2023-03-18T17:30:47.931000+00:00,89.507,FALSE,32.446,28.414,28.647,,,,12
1142,7775,63,290,326,330,2023-03-18T17:27:54.980000+00:00,89.512,FALSE,32.6,28.294,28.618,,,,9
1142,7775,20,289,328,332,2023-03-18T17:39:20.097000+00:00,89.517,FALSE,32.601,28.364,28.552,,,,16
1142,7775,27,291,328,333,2023-03-18T17:17:00.659000+00:00,89.547,FALSE,32.706,28.312,28.529,,,,9
1142,7775,63,290,321,328,2023-03-18T17:09:05.133000+00:00,89.592,FALSE,32.581,28.305,28.706,,,,4
1142,7775,20,288,325,330,2023-03-18T17:29:28.713000+00:00,89.634,FALSE,32.673,28.304,28.657,,,,12
1142,7775,24,289,322,328,2023-03-18T17:17:15.425000+00:00,89.654,FALSE,32.633,28.436,28.585,,,,9
1142,7775,10,287,317,328,2023-03-18T17:49:41.230000+00:00,89.655,FALSE,32.557,28.44,28.658,,,,18
1142,7775,77,287,320,328,2023-03-18T17:38:35.504000+00:00,89.668,FALSE,32.591,28.533,28.544,,,,17
1142,7775,44,289,322,327,2023-03-18T17:09:01.149000+00:00,89.689,FALSE,32.573,28.392,28.724,,,,4
1142,7775,44,288,322,327,2023-03-18T17:27:51.527000+00:00,89.695,FALSE,32.725,28.41,28.56,,,,9
1142,7775,81,290,320,319,2023-03-18T17:17:55.190000+00:00,89.706,FALSE,32.645,28.401,28.66,,,,9
1142,7775,31,290,320,325,2023-03-18T17:16:18.050000+00:00,89.707,FALSE,32.613,28.393,28.701,,,,7
1142,7775,81,285,314,320,2023-03-18T17:54:47.336000+00:00,89.71,FALSE,32.61,28.419,28.681,,,,20
1142,7775,2,293,325,332,2023-03-18T17:01:59.748000+00:00,89.721,FALSE,32.779,28.335,28.607,,,,2
1142,7775,10,288,314,328,2023-03-18T17:30:19.275000+00:00,89.722,FALSE,32.632,28.544,28.546,,,,11
1142,7775,55,289,322,329,2023-03-18T17:08:01.275000+00:00,89.729,FALSE,32.614,28.548,28.567,,,,4
1142,7775,20,289,328,335,2023-03-18T17:13:10.677000+00:00,89.744,FALSE,32.69,28.387,28.667,,,,7
1142,7775,27,291,328,333,2023-03-18T17:06:19.948000+00:00,89.787,FALSE,32.881,28.276,28.63,,,,4
1142,7775,81,288,315,316,2023-03-18T17:27:16.527000+00:00,89.819,FALSE,32.611,28.49,28.718,,,,12
1142,7775,20,289,328,333,2023-03-18T17:06:40.073000+00:00,89.872,FALSE,32.667,28.409,28.796,,,,4
1142,7775,27,291,328,334,2023-03-18T17:02:23.513000+00:00,89.875,FALSE,32.784,28.379,28.712,,,,2
1142,7775,10,287,316,328,2023-03-18T17:16:28.753000+00:00,89.89,FALSE,32.726,28.573,28.591,,,,7
1142,7775,55,289,325,330,2023-03-18T17:27:38.652000+00:00,89.9,FALSE,32.749,28.641,28.51,,,,11
1142,7775,18,291,305,319,2023-03-18T17:13:05.021000+00:00,89.913,FALSE,32.462,28.484,28.967,,,,4
1142,7775,77,289,321,328,2023-03-18T17:17:19.690000+00:00,89.929,FALSE,32.75,28.478,28.701,,,,9
1142,7775,22,289,322,326,2023-03-18T17:17:26.690000+00:00,89.939,FALSE,32.665,28.598,28.676,,,,9
1142,7775,24,287,322,329,2023-03-18T17:34:51.725000+00:00,89.962,FALSE,32.969,28.434,28.559,,,,15
1142,7775,77,288,316,325,2023-03-18T17:34:57.584000+00:00,89.988,FALSE,32.768,28.494,28.726,,,,15
1142,7775,63,288,323,329,2023-03-18T17:05:08.652000+00:00,89.994,FALSE,32.787,28.467,28.74,,,,2
1142,7775,23,291,326,331,2023-03-18T17:16:08.941000+00:00,89.994,FALSE,32.811,28.333,28.85,,,,8
1142,7775,77,289,319,328,2023-03-18T17:26:53.199000+00:00,90.011,FALSE,32.741,28.533,28.737,,,,12
1142,7775,16,288,326,326,2023-03-18T17:04:00.434000+00:00,90.073,FALSE,32.959,28.431,28.683,,,,2
1142,7775,24,289,323,329,2023-03-18T17:06:23.588000+00:00,90.076,FALSE,32.927,28.511,28.638,,,,4
1142,7775,81,286,314,316,2023-03-18T17:06:56.025000+00:00,90.124,FALSE,32.77,28.47,28.884,,,,4
1142,7775,44,287,322,328,2023-03-18T17:05:04.699000+00:00,90.157,FALSE,32.794,28.574,28.789,,,,2
1142,7775,23,291,324,331,2023-03-18T17:01:48.482000+00:00,90.167,FALSE,32.882,28.531,28.754,,,,2
1142,7775,21,288,322,316,2023-03-18T17:17:35.284000+00:00,90.244,FALSE,32.774,28.451,29.019,,,,9
1142,7775,77,288,319,327,2023-03-18T17:06:29.635000+00:00,90.247,FALSE,32.731,28.616,28.9,,,,4
1142,7775,24,287,321,326,2023-03-18T17:26:49.824000+00:00,90.262,FALSE,32.988,28.569,28.705,,,,12
1142,7775,20,289,328,333,2023-03-18T17:02:28.591000+00:00,90.271,FALSE,32.9,28.621,28.75,,,,2
1142,7775,31,287,316,323,2023-03-18T17:08:55.743000+00:00,90.299,FALSE,32.802,28.661,28.836,,,,3
1142,7775,18,289,317,320,2023-03-18T17:09:17.352000+00:00,90.351,FALSE,32.939,28.63,28.782,,,,2
1142,7775,77,288,321,330,2023-03-18T17:02:49.825000+00:00,90.357,FALSE,32.948,28.616,28.793,,,,2
1142,7775,4,285,313,315,2023-03-18T17:02:33.716000+00:00,90.447,FALSE,32.845,28.718,28.884,,,,2
1143,7783,1,284,321,325,2023-04-01T06:06:16.306000+00:00,76.732,FALSE,26.574,17.456,32.702,,,,23
1143,7783,63,284,315,322,2023-04-01T06:06:54.259000+00:00,76.968,FALSE,26.638,17.463,32.867,,,,28
1143,7783,1,283,320,327,2023-04-01T05:45:05.555000+00:00,77.056,FALSE,26.737,17.49,32.829,,,,15
1143,7783,44,286,321,322,2023-04-01T06:06:57.290000+00:00,77.104,FALSE,26.748,17.519,32.837,,,,27
1143,7783,14,284,312,318,2023-04-01T06:06:38.493000+00:00,77.139,FALSE,26.648,17.563,32.928,,,,25
1143,7783,1,284,320,324,2023-04-01T05:37:16.498000+00:00,77.219,FALSE,26.843,17.494,32.882,,,,12
1143,7783,1,283,320,328,2023-04-01T06:00:38.419000+00:00,77.262,FALSE,26.663,17.605,32.994,,,,20
1143,7783,55,285,319,319,2023-04-01T06:06:45.477000+00:00,77.27,FALSE,26.959,17.553,32.758,,,,27
1143,7783,44,284,316,324,2023-04-01T05:59:30.607000+00:00,77.271,FALSE,26.762,17.532,32.977,,,,23
1143,7783,14,284,310,320,2023-04-01T05:37:59.653000+00:00,77.283,FALSE,26.768,17.628,32.887,,,,15
1143,7783,14,283,311,317,2023-04-01T05:59:04.076000+00:00,77.303,FALSE,26.657,17.655,32.991,,,,21
1143,7783,18,281,312,318,2023-04-01T06:06:28.415000+00:00,77.308,FALSE,26.846,17.601,32.861,,,,25
1143,7783,63,283,316,324,2023-04-01T05:59:27.654000+00:00,77.348,FALSE,26.735,17.518,33.095,,,,24
1143,7783,55,285,318,321,2023-04-01T05:47:26.366000+00:00,77.349,FALSE,26.79,17.608,32.951,,,,19
1143,7783,16,285,318,321,2023-04-01T06:05:04.947000+00:00,77.369,FALSE,26.851,17.659,32.859,,,,24
1143,7783,1,284,324,327,2023-04-01T05:21:55.383000+00:00,77.384,FALSE,26.94,17.462,32.982,,,,8
1143,7783,16,284,319,323,2023-04-01T05:47:47.412000+00:00,77.39,FALSE,26.856,17.549,32.985,,,,17
1143,7783,55,285,319,321,2023-04-01T05:59:23.373000+00:00,77.408,FALSE,26.728,17.556,33.124,,,,23
1143,7783,27,286,321,322,2023-04-01T05:46:50.132000+00:00,77.412,FALSE,26.937,17.643,32.832,,,,18
1143,7783,1,284,322,327,2023-04-01T05:18:47.901000+00:00,77.469,FALSE,26.982,17.528,32.959,,,,6
1143,7783,63,283,314,319,2023-04-01T05:47:37.225000+00:00,77.513,FALSE,26.894,17.608,33.011,,,,20
1143,7783,16,284,318,320,2023-04-01T05:59:16.389000+00:00,77.535,FALSE,26.933,17.6,33.002,,,,21
1143,7783,44,282,316,321,2023-04-01T05:47:41.225000+00:00,77.551,FALSE,26.911,17.599,33.041,,,,19
1143,7783,16,285,317,319,2023-04-01T05:36:17.795000+00:00,77.56,FALSE,26.924,17.586,33.05,,,,12
1143,7783,18,282,314,317,2023-04-01T06:03:07.761000+00:00,77.563,FALSE,26.857,17.625,33.081,,,,23
1143,7783,10,285,326,323,2023-04-01T05:46:32.663000+00:00,77.574,FALSE,26.963,17.471,33.14,,,,16
1143,7783,1,284,318,326,2023-04-01T05:57:34.046000+00:00,77.578,FALSE,26.739,17.576,33.263,,,,18
1143,7783,63,284,315,321,2023-04-01T05:41:13.964000+00:00,77.607,FALSE,26.876,17.532,33.199,,,,16
1143,7783,23,286,320,322,2023-04-01T06:03:00.543000+00:00,77.609,FALSE,26.959,17.459,33.191,,,,26
1143,7783,18,282,316,317,2023-04-01T05:35:17.921000+00:00,77.616,FALSE,26.958,17.591,33.067,,,,13
1143,7783,63,283,316,320,2023-04-01T05:25:24.537000+00:00,77.654,FALSE,26.875,17.622,33.157,,,,10
