MEETING_KEY,SESSION_KEY,DRIVER_NUMBER,I1_SPEED,I2_SPEED,ST_SPEED,DATE_START_LAP,LAP_DURATION,DURATION_SECTOR_1,DURATION_SECTOR_2,DURATION_SECTOR_3,LAP_NUMBER,AIR_TEMPERATURE,HUMIDITY,PRESSURE,RAINFALL,TRACK_TEMPERATURE,WIND_DIRECTION,WIND_SPEED,LOCATION,COUNTRY_NAME,CIRCUIT_SHORT_NAME,SESSION_TYPE,SESSION_NAME,DATE_START_SESSION,DATE_END_SESSION,GMT_OFFSET,YEAR,CIRCUIT,TYPE,DIRECTION,TURNS,LENGTH_KM
1141,7768,11,240,270,324,2023-03-04T15:16:00Z,91.479,29.218,39.397,22.864,3,24.2,16,1017.5,0,28.7,352,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,77,240,268,316,2023-03-04T15:24:00Z,91.504,29.198,39.32,22.986,5,24.2,15,1017.7,0,28.6,94,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,31,240,268,321,2023-03-04T15:24:00Z,91.508,29.221,39.356,22.931,5,24.2,15,1017.7,0,28.6,94,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,44,244,271,321,2023-03-04T15:15:00Z,91.543,29.062,39.442,23.039,2,24.3,16,1017.5,0,28.7,344,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,24,239,269,317,2023-03-04T15:24:00Z,91.615,29.212,39.338,23.065,5,24.2,15,1017.7,0,28.6,94,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,18,241,268,317,2023-03-04T15:14:00Z,91.617,29.266,39.428,22.923,2,24.3,16,1017.5,0,28.7,319,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,4,241,269,318,2023-03-04T15:24:00Z,91.652,29.304,39.257,23.091,6,24.2,15,1017.7,0,28.6,94,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,2,241,271,322,2023-03-04T15:25:00Z,91.652,29.352,39.343,22.957,5,24.1,16,1017.5,0,28.6,77,0.5,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,44,242,271,324,2023-03-04T15:25:00Z,91.654,29.194,39.479,22.981,5,24.1,16,1017.5,0,28.6,77,0.5,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,31,241,270,321,2023-03-04T15:15:00Z,91.688,29.321,39.398,22.969,2,24.3,16,1017.5,0,28.7,344,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
